Name,MS,BNS,MGF,LM
GRB130716352,8.096e-01,1.881e-01,2.329e-03,2.966e-09
GRB130716442,9.067e-02,9.014e-01,7.945e-03,6.385e-11
GRB130717734,1.549e-04,9.998e-01,4.819e-06,2.910e-14
GRB130720116,7.972e-01,2.002e-01,2.577e-03,6.028e-09
GRB130720582,1.000e+00,2.109e-05,2.154e-06,2.638e-15
GRB130722021,8.227e-01,1.753e-01,1.979e-03,2.215e-09
GRB130722990,1.611e-01,8.386e-01,3.149e-04,2.089e-11
GRB130723092,1.521e-01,8.469e-01,1.016e-03,1.456e-10
GRB130725527,9.611e-01,3.864e-02,2.181e-04,6.364e-06
GRB130727698,8.118e-01,1.860e-01,2.242e-03,3.083e-09
GRB130730243,7.224e-01,2.758e-01,1.801e-03,9.256e-10
GRB130802730,2.208e-01,5.994e-01,1.799e-01,2.678e-10
GRB130803419,8.947e-01,1.046e-01,6.544e-04,3.547e-07
GRB130804023,5.759e-06,7.480e-01,2.520e-01,1.170e-16
GRB130808253,1.511e-01,6.160e-01,2.329e-01,1.654e-10
GRB130811186,9.695e-01,3.024e-02,2.140e-04,1.289e-10
GRB130813791,9.408e-01,5.900e-02,1.681e-04,1.220e-10
GRB130815420,1.000e+00,3.171e-06,1.663e-07,3.129e-15
GRB130815660,9.855e-01,1.446e-02,1.744e-07,7.197e-10
GRB130816074,2.868e-01,7.114e-01,1.751e-03,2.057e-10
GRB130818941,9.929e-01,7.030e-03,4.244e-05,2.890e-11
GRB130819394,9.985e-01,1.525e-03,1.685e-06,4.120e-11
GRB130821674,9.654e-01,3.452e-02,5.174e-05,2.386e-11
GRB130828306,1.000e+00,4.291e-05,3.582e-07,4.155e-14
GRB130828808,9.964e-01,3.610e-03,1.343e-05,2.042e-08
GRB130829672,8.142e-01,1.838e-01,2.043e-03,1.414e-08
GRB130830864,8.010e-01,1.965e-01,2.515e-03,3.318e-09
GRB130830921,7.936e-01,2.035e-01,2.902e-03,4.063e-09
GRB130831058,7.928e-01,2.050e-01,2.201e-03,2.106e-09
GRB130903033,9.287e-01,7.096e-02,3.633e-04,5.698e-10
GRB130905377,8.166e-01,1.815e-01,1.970e-03,1.034e-08
GRB130906222,7.881e-01,2.089e-01,2.920e-03,4.366e-09
GRB130906435,7.195e-01,2.772e-01,3.250e-03,2.079e-09
GRB130907760,2.632e-01,7.228e-01,1.406e-02,2.521e-10
GRB130912358,4.848e-04,2.474e-02,9.748e-01,2.193e-13
GRB130919173,5.434e-04,5.772e-01,4.223e-01,1.436e-21
GRB130919352,8.679e-01,1.316e-01,5.685e-04,6.014e-10
GRB130919985,8.076e-01,1.901e-01,2.277e-03,3.328e-09
GRB130924255,8.419e-01,1.570e-01,1.071e-03,8.837e-10
GRB130924910,6.951e-01,2.986e-01,6.267e-03,2.668e-09
GRB130925173,1.000e+00,6.336e-06,1.738e-08,3.134e-14
GRB130925546,9.995e-01,4.676e-04,1.621e-07,5.507e-14
GRB130928537,9.121e-01,8.730e-02,6.365e-04,4.324e-10
GRB130929375,7.623e-01,2.327e-01,4.997e-03,3.574e-09
GRB131002288,7.924e-01,2.048e-01,2.851e-03,4.553e-09
GRB131004904,2.388e-01,7.594e-01,1.754e-03,8.595e-11
GRB131006367,3.925e-01,5.104e-01,9.709e-02,1.052e-09
GRB131006840,9.636e-01,3.612e-02,2.453e-04,1.421e-10
GRB131008858,8.077e-01,1.899e-01,2.400e-03,3.909e-09
GRB131011741,8.665e-01,1.324e-01,1.141e-03,9.955e-10
GRB131014215,1.207e-05,6.949e-12,1.272e-10,1.000e+00
GRB131014513,8.409e-01,1.577e-01,1.340e-03,2.930e-09
GRB131018673,8.333e-01,1.649e-01,1.777e-03,1.993e-09
GRB131020113,7.500e-01,2.445e-01,5.485e-03,3.632e-09
GRB131021352,1.518e-03,9.963e-01,2.171e-03,9.140e-13
GRB131024900,8.795e-01,1.195e-01,1.013e-03,7.381e-10
GRB131028076,1.000e+00,3.787e-07,6.498e-07,6.390e-17
GRB131028096,1.000e+00,6.655e-08,2.926e-11,3.381e-17
GRB131029973,9.994e-01,6.088e-04,3.725e-06,1.852e-12
GRB131030653,1.170e-01,8.829e-01,2.783e-05,1.050e-11
GRB131030791,8.187e-01,1.795e-01,1.838e-03,2.793e-08
GRB131031482,1.000e+00,2.613e-11,8.184e-13,1.513e-07
GRB131102622,8.649e-01,1.339e-01,1.172e-03,9.169e-10
GRB131105087,9.952e-01,4.813e-03,1.882e-05,1.930e-11
GRB131108024,9.995e-01,5.374e-04,3.481e-06,2.771e-12
GRB131108862,1.000e+00,6.909e-08,1.196e-16,4.079e-13
GRB131110373,8.823e-01,1.169e-01,8.118e-04,5.527e-10
GRB131113483,2.667e-01,7.332e-01,8.805e-05,6.431e-10
GRB131117766,9.962e-01,3.797e-03,7.969e-06,1.207e-11
GRB131118958,9.998e-01,2.079e-04,5.364e-07,7.890e-13
GRB131119781,8.555e-01,1.440e-01,5.037e-04,3.084e-10
GRB131122490,9.998e-01,2.189e-04,6.598e-07,3.367e-12
GRB131123543,8.595e-01,1.400e-01,5.299e-04,4.935e-10
GRB131125689,8.805e-03,9.904e-01,8.203e-04,2.686e-12
GRB131126163,1.008e-01,4.696e-01,4.296e-01,7.293e-11
GRB131127480,8.683e-01,1.304e-01,1.248e-03,1.210e-09
GRB131127592,9.996e-01,4.346e-05,3.195e-04,4.076e-15
GRB131127696,7.987e-01,1.988e-01,2.556e-03,7.668e-09
GRB131128629,7.172e-01,2.804e-01,2.351e-03,2.042e-09
GRB131202633,8.209e-01,1.771e-01,1.963e-03,2.236e-09
GRB131202906,9.395e-01,6.022e-02,3.277e-04,4.155e-10
GRB131204937,9.866e-01,1.332e-02,7.829e-05,5.115e-11
GRB131209547,9.352e-01,6.431e-02,5.023e-04,5.432e-10
GRB131209963,6.914e-01,3.044e-01,4.221e-03,2.437e-09
GRB131211510,9.658e-01,3.395e-02,2.167e-04,1.730e-10
GRB131212814,7.924e-01,2.048e-01,2.730e-03,4.443e-09
GRB131214705,9.787e-01,2.119e-02,7.940e-05,2.944e-10
GRB131215298,9.631e-01,3.670e-02,2.193e-04,1.300e-10
GRB131216081,9.462e-01,5.355e-02,2.670e-04,1.450e-08
GRB131217108,9.977e-01,2.262e-03,1.985e-06,7.534e-14
GRB131217183,9.914e-01,8.521e-03,4.776e-05,1.082e-10
GRB131217506,2.126e-01,7.866e-01,7.572e-04,1.958e-10
GRB131229277,1.000e+00,1.638e-11,1.186e-10,3.795e-12
GRB131230529,7.587e-01,2.378e-01,3.527e-03,2.854e-09
GRB131230808,8.408e-01,1.578e-01,1.494e-03,1.424e-09
GRB131231198,8.338e-01,1.581e-01,8.107e-03,8.182e-13
GRB140102887,9.979e-01,2.042e-03,8.388e-06,6.547e-08
GRB140104731,1.000e+00,5.030e-06,1.873e-06,3.038e-15
GRB140105065,7.337e-03,9.057e-01,8.700e-02,3.316e-12
GRB140105748,6.586e-01,3.405e-01,9.063e-04,7.637e-11
GRB140106345,8.308e-01,1.676e-01,1.604e-03,1.653e-09
GRB140108721,9.986e-01,1.375e-03,8.991e-06,4.494e-12
GRB140109771,2.926e-01,6.422e-01,6.521e-02,4.002e-10
GRB140110263,8.094e-01,1.884e-01,2.163e-03,1.129e-08
GRB140110411,5.505e-01,4.116e-01,3.789e-02,1.955e-09
GRB140110814,3.011e-01,6.986e-01,2.798e-04,4.302e-11
GRB140112060,8.033e-01,1.942e-01,2.457e-03,3.775e-09
GRB140113183,8.086e-01,1.891e-01,2.230e-03,3.278e-09
GRB140113624,6.572e-01,3.385e-01,4.248e-03,1.944e-09
GRB140115863,9.079e-01,9.135e-02,7.452e-04,4.684e-10
GRB140118064,8.135e-01,1.844e-01,2.145e-03,3.387e-09
GRB140122597,7.261e-01,2.697e-01,4.238e-03,2.737e-09
GRB140124527,9.973e-01,2.709e-03,1.568e-05,1.119e-11
GRB140126815,8.268e-01,1.712e-01,1.931e-03,2.287e-09
GRB140129499,1.577e-01,4.810e-01,3.613e-01,1.850e-10
GRB140204547,8.707e-01,1.282e-01,1.068e-03,9.077e-10
GRB140206275,1.000e+00,3.513e-09,6.053e-12,1.608e-22
GRB140206304,9.997e-01,9.844e-06,2.437e-04,1.975e-12
GRB140209313,9.917e-01,7.578e-07,7.406e-05,8.224e-03
GRB140211091,3.087e-01,6.900e-01,1.382e-03,3.745e-10
GRB140213807,1.000e+00,4.762e-07,2.442e-11,4.177e-10
GRB140216331,6.978e-01,2.971e-01,5.128e-03,2.094e-09
GRB140217043,7.509e-01,2.491e-01,1.751e-06,3.468e-12
GRB140218427,9.582e-01,4.159e-02,1.962e-04,3.748e-10
GRB140219824,7.632e-01,2.346e-01,2.207e-03,1.646e-09
GRB140223495,8.081e-01,1.896e-01,2.320e-03,4.665e-09
GRB140224382,2.597e-02,9.740e-01,2.116e-06,1.476e-12
GRB140224788,8.236e-01,1.744e-01,2.006e-03,2.858e-09
GRB140227738,7.619e-01,2.343e-01,3.763e-03,3.109e-09
GRB140302342,9.981e-01,1.894e-03,1.448e-05,5.340e-12
GRB140304557,9.280e-01,7.154e-02,4.795e-04,6.240e-10
GRB140304849,9.999e-01,1.047e-04,5.617e-07,5.139e-13
GRB140306146,9.999e-01,7.240e-05,5.020e-11,1.201e-11
GRB140308710,9.677e-01,3.205e-02,1.985e-04,1.209e-08
GRB140311453,8.008e-01,1.965e-01,2.728e-03,6.154e-09
GRB140311618,8.565e-01,1.426e-01,8.385e-04,1.614e-08
GRB140311885,9.975e-01,2.401e-03,8.686e-05,6.831e-12
GRB140319964,9.527e-01,4.707e-02,1.942e-04,7.352e-11
GRB140320092,1.246e-01,5.495e-01,3.260e-01,1.328e-10
GRB140322424,8.104e-01,1.872e-01,2.372e-03,5.356e-09
GRB140323433,9.990e-01,9.978e-04,5.751e-09,1.224e-15
GRB140327065,8.099e-01,1.882e-01,1.904e-03,2.404e-09
GRB140328560,7.691e-01,2.278e-01,3.055e-03,3.719e-09
GRB140329272,1.899e-01,5.441e-01,2.661e-01,2.303e-10
GRB140329295,1.896e-05,1.000e+00,1.261e-11,3.180e-23
